" - 500 Millions" " Entre 500 M & 1 G" " Entre 1 G & 2.5 G" " Entre 2.5 & 5 G" " + 5 G"
"Film & Animation" 0 0 0 1.96 0
"Autos & Vehicles" 0 0.5 0 0 0
"Music" 0 0 0 2.02 0
"Pets & Animals" 0.33 0 0 0 0
"Sports" 0 0 0 1.67 0
"Travel & Events" 0.5 0 0 0 0
"Gaming" 0 0 0 0 2.09
"People & Blogs" 0 0 1.51 0 0
"Comedy" 0 0 0 1.82 0
"Entertainment" 0 0 0 0 3.5
"News & Politics" 0 0 0 2.66 0
"Howto & Style" 0 0 1.4 0 0
"Education" 0 0 0.9 0 0
"Science & Technology" 0 0.5 0 0 0
"Nonprofits & Activism" 0.5 0 0 0 0
