" Entre 0 et 2.5% " 'Entre 2.5 et 5%' " Entre 5 et 7.5% " " Entre 7.5 et 10% " " plus de 10% "
"Film & Animation" 0 4.09 0 7.85 0
"Autos & Vehicles" 1.93 1.94 0 0 0
"Music" 0 3.74 0 8.09 0
"Pets & Animals" 0.57 0 0 0 0
"Sports" 0 0 0 12.66 0
"Travel & Events" 1.23 0 0 0 0
"Gaming" 0 0 0 0 26.08
"People & Blogs" 0 0 6.04 7.71 0
"Comedy" 0 4.82 7.27 0 0
"Entertainment" 0 0 0 0 25.98
"News & Politics" 0 0 0 10.65 0
"Howto & Style" 0 0 5.59 0 0
"Education" 0 0 3.58 0 0
"Science & Technology" 0 2 0 0 0
"Nonprofits & Activism" 0.5 0 0 0 0
